reference: 65 nodes, unit=8.64 px

transform   ref  got  match  miss  spur  rms/u  unit×
-----------------------------------------------------
identity     65   65     65     0     0   0.00   1.00
transpose    65   65     65     0     0   0.00   1.00
flip-lr      65   65     65     0     0   0.00   1.00
flip-ud      65   65     65     0     0   0.00   1.00
rot90        65   65     65     0     0   0.00   1.00
rot180       65   65     65     0     0   0.00   1.00
rot34        65   67     57     8    10   0.33   1.02
rot57        65   72     59     6    13   0.34   1.01
scale0.35    65   35     29    36     6   0.66   0.38
scale0.5     65   46     41    24     5   1.06   0.52
scale0.7     65   59     54    11     5   1.04   0.72
scale1.5     65   73     62     3    11   0.40   1.48
scale2.0     65   71     62     3     9   0.18   1.93
